,LSRCa,LSRCb,LSRCc,L650a,L650b,L650c,LREGa,LREGb,LREGc,L633a,L633b,L633c,L634a,L634b,L634c,L671a,L671b,L671c,L645b,L645c,L646b,L646c,L692a,L692b,L692c,L675a,L675b,L675c,L611c,L652a,L670a,L670b,L670c,L632a,L632b,L632c,L680a,L680b,L680c,L684a,L684c
00:00.1,0,0,0,0,0,0,0,0,0,15.036,6.189,5.601,5.16,5.625,8.965,8.943,9.074,5.041,2.487,1.525,1.25,4.493,0,0,0,2.487,2.207,26.64,12.66,12.755,2.595,3.187,2.481,5.466,3.278,1.548,2.929,9.151,4.509,2.706,2.576
00:00.1,0,0,0,0,0,0,0,0,0,14.659,5.846,5.486,4.72,6.96,8.613,9.033,9.46,3.37,2.147,1.525,1.771,3.607,0,0,0,2.147,2.132,26.44,12.359,12.593,2.365,1.766,4.193,5.131,2.954,1.539,2.661,5.381,4.298,2.566,2.893
00:00.1,0,0,0,0,0,0,0,0,0,15.321,6.207,5.531,5,6.61,13.236,8.494,6.916,4.666,3.006,1.674,0.831,1.224,0,0,0,3.006,2.064,26.72,12.591,12.004,2.242,1.031,2.762,5.323,3.951,1.541,2.251,3.645,4.297,2.416,2.499
00:00.1,0,0,0,0,0,0,0,0,0,15.6,6.308,4.838,5.12,8.075,13.373,8.526,6.425,3.065,1.92,1.441,0.51,0.92,0,0,0,1.92,2.129,26.9,13.631,9.351,2.003,1.154,2.249,5.218,2.585,1.472,1.972,3.558,3.647,3.533,1.966
00:00.1,0,0,0,0,0,0,0,0,0,15.465,7.78,5.248,4.76,5.633,14.528,8.075,5.704,2.843,1.551,1.527,0.459,0.739,0,0,0,1.551,2.539,27.42,14.623,7.463,1.989,0.783,2.263,5.435,3.044,1.506,1.813,3.822,3.732,2.784,1.417
00:00.1,0,0,0,0,0,0,0,0,0,16.349,7.532,4.854,5,3.223,14.32,8.261,6.17,2.787,1.357,1.812,0.417,0.722,0,0,0,1.357,1.783,26.88,13.396,7.755,2.052,0.666,2.03,5.124,2.607,0.955,1.849,3.376,3.612,3.068,1.469
00:00.1,0,0,0,0,0,0,0,0,0,15.185,7.284,5.467,4.72,3.302,14.515,7.98,6.112,3.567,1.304,2,0.335,0.631,0,0,0,1.304,2.31,26.72,12.974,8.788,2.193,0.582,1.982,5.402,2.719,0.998,1.662,2.936,3.887,3.05,1.349
00:00.1,0,0,0,0,0,0,0,0,0,15.544,7.498,5.036,3.88,3.61,11.173,7.841,5.418,3.255,1.019,1.606,0.328,0.577,0,0,0,1.019,1.844,26.88,12.877,7.752,1.819,0.681,1.659,5.508,3.091,1.272,1.721,2.997,3.702,2.972,1.347
00:00.1,0,0,0,0,0,0,0,0,0,15.414,7.111,5.079,4.52,3.336,8.509,7.993,3.475,3.395,1.49,1.65,0.414,0.542,0,0,0,1.49,2.129,27.02,13.155,7.879,1.946,0.905,1.803,5.763,2.557,1.004,1.651,3.697,3.405,2.973,1.499
00:00.1,0,0,0,0,0,0,0,0,0,15.205,7.527,4.834,4.48,3.005,8.204,7.634,5.307,2.504,1.51,1.787,0.358,0.537,0,0,0,1.51,2.143,26.88,12.636,7.726,1.759,1.381,1.766,5.629,2.722,1.119,2.298,4.326,4.391,3.583,1.365
00:00.1,0,0,0,0,0,0,0,0,0,15.323,7.352,5.886,7.2,4.421,12.399,7.027,4.381,2.838,1.265,1.48,0.351,0.6,0,0,0,1.265,1.879,26.8,14.26,8.863,1.984,0.63,1.592,5.544,2.658,1.149,1.905,3.942,3.977,3.675,2.133
00:00.1,0,0,0,0,0,0,0,0,0,15.749,7.625,4.869,14.32,4.489,13.992,7.937,5.259,3.147,1.245,1.672,0.7,0.605,0,0,0,1.245,3.653,26.56,14.443,7.899,2.077,0.665,2.345,5.504,2.901,1.147,2.258,3.916,3.738,2.698,5.558
00:00.2,0,0,0,0,0,0,0,0,0,16.746,7.01,5.221,17.68,5.939,11.668,8.416,4.325,5.136,1.741,4.428,0.614,0.611,0,0,0,1.741,3.201,26.38,12.566,7.384,3.229,1.041,2.788,5.224,3.61,1.119,1.757,4.708,4.763,2.606,2.424
00:00.2,0,0,0,0,0,0,0,0,0,20.854,6.922,5.228,17.84,9.036,13.297,8.283,4.314,5.263,5.563,5.977,0.671,1.01,0,0,0,5.563,2.63,24.72,14.755,9.166,2.876,1.96,3.624,4.757,2.852,1.084,2.74,4.36,6.451,2.482,2.088
00:00.2,0,0,0,0,0,0,0,0,0,20.701,6.713,5.978,19.2,11.132,14.795,7.849,4.669,6.533,9.888,5.323,1.107,1.213,0,0,0,9.888,4.678,27.38,13.164,11.037,2.013,1.745,2.216,6.34,2.99,1.326,2.321,5.955,4.523,2.862,2.395
00:00.2,0,0,0,0,0,0,0,0,0,25.503,8.68,4.521,17.68,8.074,17.409,7.492,5.542,4.655,13.188,6.379,2.563,1.669,0,0,0,13.188,3.22,28.82,12.206,13.919,2.994,0.733,2.413,5.502,4.629,1.931,2.701,6.03,8.753,2.522,2.678
00:00.2,0,0,0,0,0,0,0,0,0,31.777,8.705,5.517,17.6,4.876,19.418,7.036,7.691,4.903,8.095,4.194,3.158,2.586,0,0,0,8.095,3.156,24.94,11.567,12.997,2.515,1.467,5.521,4.369,2.996,1.228,3.01,5.98,4.481,2.459,4.025
00:00.2,0,0,0,0,0,0,0,0,0,26.052,8.196,5.891,17.24,4.064,18.148,8.27,3.487,5.003,9.801,1.747,3.399,1.008,0,0,0,9.801,5.184,25.26,11.225,11.967,1.822,1.421,3.957,4.117,2.794,1.156,2.18,8.066,5.8,3.117,2.969
00:00.2,0,0,0,0,0,0,0,0,0,19.854,8.906,5.888,19.32,3.856,18.917,7.801,4.195,3.858,6.318,1.16,3.657,1.07,0,0,0,6.318,3.584,25.24,12.204,11.976,1.772,0.843,4.019,4.354,2.593,1.193,3.453,4.759,5.213,2.618,2.66
