,LSRCa, LSRCb, LSRCc, L650a, L650b, L650c, LREGa, LREGb, LREGc, L633a, L633b, L633c, L634a, L634b, L634c, L671a, L671b, L671c, L645b, L645c, L646b, L646c, L692a, L692b, L692c, L675a, L675b, L675c, L611c, L652a, L670a, L670b, L670c, L632a, L632b, L632c, L680a, L680b, L680c, L684a, L684c
00:00.1,0,0,0,0,0,0,0,0,0,1.680219971,8.28094043,2.323120117,4.667846191,3.169265381,6.528112305,0.975599976,2.603800049,3.014400146,2.035100098,1.996519897,9.965604492,5.97013623,0,0,0,14.87345898,5.186339844,1.406400024,13.3184707,4.269290039,1.266699951,1.496099976,0.688,14.39587988,10.67912793,17.72776563,15.71789746,9.635392578,14.66900977,1.028999878,0.552910034
00:00.1,0,0,0,0,0,0,0,0,0,1.678940063,8.301234375,2.283494873,4.655906738,3.167145752,6.529498535,0.964099976,2.594199951,3.019400146,2.033700073,1.995209839,9.927267578,5.946016113,0,0,0,14.87174023,5.201120117,1.404599976,13.32204883,4.26402002,1.257800171,1.495900024,0.6885,13.25198047,10.68241016,17.7370332,15.71991797,9.623989258,14.63636328,1.025,0.552569946
00:00.1,0,0,0,0,0,0,0,0,0,1.680179932,8.258140625,2.284099854,4.67109375,3.17611084,6.530100586,0.960600037,2.529899902,3.014899902,2.035100098,1.994479858,9.919612305,5.954178223,0,0,0,14.87397852,5.200569824,1.401800049,13.32207031,4.259169922,1.258900146,1.496399902,0.687699951,13.24222949,10.67123438,17.77144336,15.73021387,9.622100586,14.59981836,1.021,0.556710022
00:00.1,0,0,0,0,0,0,0,0,0,1.683170044,8.247299805,2.282799805,4.616066895,3.175098877,6.520508301,0.96,2.5295,3.015400146,2.040300049,1.992359985,9.919537109,5.958468262,0,0,0,14.86903906,5.196070313,1.401300049,13.31523926,4.264919922,1.273900024,1.495599854,0.688599976,13.24785059,10.67924121,17.75558398,15.74516797,9.639331055,14.56534668,1.025199951,0.557929993
00:00.1,0,0,0,0,0,0,0,0,0,1.681530029,8.219020508,2.283400146,4.628278809,3.174338135,6.527513672,0.969200012,2.5295,3.012600098,2.03560022,1.989539917,9.92371582,5.965376953,0,0,0,14.88560156,5.18594043,1.405899902,13.34512012,4.266029785,1.271699829,1.495700073,0.687900024,13.22041992,10.66274902,17.73196875,15.74241895,9.638037109,14.57017773,1.026299927,0.555400024
00:00.1,0,0,0,0,0,0,0,0,0,1.675399902,8.211360352,2.283439941,4.656953125,3.064783447,6.523403809,0.976099976,2.529300293,3.017899902,2.033,1.991500122,9.908738281,5.957480469,0,0,0,14.79305957,5.204169922,1.402599976,13.34939941,4.268759766,1.266,1.495300049,0.6875,13.23733008,10.67672266,17.70175,15.73830469,9.655964844,14.57817676,1.031199951,0.553309998
00:00.1,0,0,0,0,0,0,0,0,0,1.675400024,8.215720703,2.284740234,4.649645996,2.68435376,6.528114258,0.960200012,2.529,3.018699951,2.030800049,1.991939941,9.923642578,5.945522949,0,0,0,14.74230078,5.206200195,1.406900024,13.32801953,4.266740234,1.262,1.496400024,0.6895,13.1860498,10.64878223,17.69787305,15.71218848,9.63237207,14.57380469,1.027400024,0.558660034
00:00.1,0,0,0,0,0,0,0,0,0,1.675880005,8.235919922,2.284,4.643458496,2.680951904,6.520162109,0.960100037,2.529600098,3.017199951,2.033300049,1.99122998,9.895138672,5.950998047,0,0,0,14.58303906,5.142010254,1.4065,13.31482031,4.261109863,1.270599976,1.496400024,0.689099976,13.25464063,10.62446875,17.69192773,15.66855859,9.597795898,14.55152344,1.023099976,0.557419983
00:00.1,0,0,0,0,0,0,0,0,0,1.683709961,8.240580078,2.28273999,4.645935059,2.669166504,6.521706055,0.961100037,2.530100098,3.017400146,2.242500244,1.926459961,9.909109375,5.956021484,0,0,0,14.63471973,5.057720215,1.402100098,13.30498047,4.267160156,1.274200073,1.496400024,0.688799988,13.24119922,10.62395898,20.46655273,15.64085254,9.534769531,14.52896484,1.020899963,0.555799988
00:00.1,0,0,0,0,0,0,0,0,0,1.686920044,8.214980469,2.310140137,4.641959961,2.666956055,6.531695313,0.958199951,2.532299805,3.013399902,2.32,1.915219971,9.903589844,5.978478516,0,0,0,14.64543848,5.049450195,1.401899902,13.31325,4.263160156,1.262700073,1.495900024,0.688200012,13.18226953,10.64396875,20.35467188,15.6511377,9.547913086,15.66629395,1.0275,0.555730042
00:00.1,0,0,0,0,0,0,0,0,0,1.682949951,8.225519531,2.375620117,4.619141113,2.667188721,6.534196289,0.961600098,2.539700439,3.010900146,2.325100098,1.917229858,9.879757813,6.05076416,0,0,0,14.64468066,5.052850098,1.402300049,13.32541992,4.239939941,1.262,1.495400024,0.688700012,13.23337891,10.66299707,20.33367383,15.6258584,9.569587891,14.73935156,1.032199951,0.555130005
00:00.1,0,0,0,0,0,0,0,0,0,1.688420044,8.239201172,2.368280273,4.626060059,2.672437256,6.540288086,0.960300049,2.601800049,3.013,2.324399902,1.916279907,9.876777344,6.061011719,0,0,0,14.75668066,5.132379883,1.405300049,13.31293945,4.240589844,1.261400024,1.494699951,0.687699951,13.20812988,10.63884961,20.29164063,15.64465723,9.574130859,14.66066309,1.023300049,0.558610046
00:00.1,0,0,0,0,0,0,0,0,0,1.687619995,8.236339844,2.361200195,4.634030273,2.673219238,6.53902002,0.9595,2.600199707,3.011399902,2.328899658,1.91525,9.865566406,6.056089844,0,0,0,14.73954102,5.120600098,1.404099976,13.30876074,4.256620117,1.262,1.494200073,0.688400085,13.18825098,10.65655957,20.28135156,15.65668555,9.571741211,14.62445215,1.017900024,0.558409912
00:00.1,0,0,0,0,0,0,0,0,0,1.68751001,8.270520508,2.361219971,4.667250488,2.669366699,6.539314453,0.959999939,2.6035,3.009900146,2.328799805,1.915390015,9.886066406,6.061878418,0,0,0,14.68502051,5.103050781,1.401899902,13.31093945,4.242319824,1.266099976,1.494300049,0.689,13.8834502,10.64531445,20.26703711,15.71573633,10.26917383,14.62125098,1.020099976,0.556109985
00:00.1,0,0,0,0,0,0,0,0,0,1.682790039,8.271780273,2.361160156,4.688447754,2.66460498,6.541969727,0.958900024,2.600200195,3.016700195,2.316199951,1.914380005,9.879435547,6.003874512,0,0,0,14.69685938,5.115560059,1.401099976,13.31726074,4.248810059,1.267500122,1.493599976,0.689200012,13.98630078,10.66345508,20.26357422,15.73751465,9.694893555,14.61975781,1.027400024,0.55451001
00:00.1,0,0,0,0,0,0,0,0,0,1.676750122,8.230439453,2.358840332,4.707822754,2.668071777,6.540910156,0.960200012,2.600900146,3.013300049,2.318399902,1.917160034,9.876229492,6.005110352,0,0,0,14.70123926,5.12842041,1.401300049,13.34066992,4.255109863,1.258500122,1.494300049,0.688499939,13.86853027,10.65741406,20.27491211,15.73425391,9.659787109,14.61943164,1.025,0.558839966
00:00.1,0,0,0,0,0,0,0,0,0,1.679310059,8.23494043,2.360620117,4.696550781,2.669967041,6.546852051,0.959400024,2.601600098,3.013400146,2.321300049,1.913920044,9.874751953,6.004566406,0,0,0,14.68978125,5.11477002,1.402899902,13.32475977,4.244989746,1.2615,1.494900024,0.688799927,13.35032031,10.66080273,20.26237109,15.7550166,9.655105469,14.63533398,1.017399963,0.558470032
00:00.1,0,0,0,0,0,0,0,0,0,1.678040039,8.2295,2.36176001,4.585211914,2.678512207,6.544129883,0.9565,2.602599854,3.014699951,2.325200195,1.922869873,9.873287109,6.006795898,0,0,0,14.69143945,5.101149902,1.402300049,13.30866016,4.24075,1.277200073,1.494599976,0.689,13.27441113,10.6602666,20.26142188,15.76571777,9.66215625,15.53409473,1.020799988,0.555300049
00:00.1,0,0,0,0,0,0,0,0,0,1.686040039,8.247379883,2.359280029,4.561730469,2.672579102,6.545003906,0.959100037,2.600800049,3.015400146,2.320099854,1.923139893,9.882904297,6.004458496,0,0,0,14.63595996,5.074910156,1.402800049,13.30867969,4.258800293,1.277400024,1.494,0.689200012,13.31449023,10.65270898,20.25757422,15.76153027,10.31061621,14.7704502,1.023200012,0.554849976
00:00.2,0,0,0,0,0,0,0,0,0,1.685139893,8.21934082,2.361500244,4.554491699,2.674689941,6.54453125,0.956999939,2.600699951,3.022300049,2.317099854,1.91775,9.882232422,6.002322754,0,0,0,14.5738584,5.059280273,1.403400024,13.31848047,4.261720215,1.269900024,1.494099976,0.689299988,13.19899902,10.65992871,20.24558789,15.75655859,9.757663086,14.71076367,1.024400024,0.554880005
00:00.2,0,0,0,0,0,0,0,0,0,1.684280029,8.168779785,2.361040039,4.538179688,2.679247314,6.544903809,0.958900024,2.601800293,3.021000244,2.3135,1.923130127,9.878763672,5.999873535,0,0,0,14.57595898,5.064730469,1.402,13.32633008,4.255279785,1.267400024,1.495400024,0.688299988,13.23976953,10.65628613,20.24260742,15.837,9.726441406,14.72968652,1.018900024,0.55473999
00:00.2,0,0,0,0,0,0,0,0,0,1.682429932,8.205580078,2.360100098,4.526452148,2.677462891,6.537472168,0.958900024,2.603099854,3.018399658,2.315899902,1.920369873,9.883566406,6.003445801,0,0,0,14.56665918,5.067560059,1.4035,13.31109863,4.249060059,1.273300049,1.496599976,0.689,13.24479004,10.66827734,20.24684766,15.77975391,9.742041992,14.72945996,1.016400024,0.554200012
00:00.2,0,0,0,0,0,0,0,0,0,1.680800049,8.196180664,2.359600098,4.508234375,2.674005371,6.536508301,0.958000061,2.601300049,3.013800293,2.319300049,1.922599976,10.05250391,6.009695801,0,0,0,14.56658008,5.059509766,1.4015,13.30208008,4.253860352,1.2775,1.499200073,0.688999939,13.2700918,10.66428613,20.25375,15.74789453,9.750224609,14.73268555,1.0155,0.553880005
00:00.2,0,0,0,0,0,0,0,0,0,1.681959961,8.167219727,2.358980225,4.50778125,2.673902588,6.539921875,0.961099976,2.6005,3.007799805,2.316,1.920039917,10.76685352,6.003966797,0,0,0,14.5710791,5.05272998,1.403300049,13.31047949,4.250549805,1.277200073,1.497699951,0.689599976,13.3027207,10.65274902,20.23694141,15.71237012,9.751543945,14.73787305,1.023200012,0.553980042
